,شعور الفرح - Joy,شعور الحزن – Sadness ,شعور الخوف – Fear,شعور الحب - Liking,شعور البغض - Hatred
19,جذلان يمرح هذا الولد.,أشعر بالسوء تجاه الخسارة.,هربت من الموت.,لحظاتنا معًا هي كل شيء.,هو يحقد عليّ.
20,يلهو الولد بالطابة.,ساءني أنك غدرْتَ بي.,أخشى أن يصيبني مكروه.,مشاعري تجاهك تتصاعد.,لا يشعر إلا بالسخط.
21,تسامر الناس.,أشعر بالاستياء.,ارتاع الرجل من مشهد الموت.,أنا مدمن على حبك.,يكيل لي بكل ما أوتي من الشحناء والبغضاء.
22,سهر الناس وتنادموا.,أصابك شعور بالاكتئاب.,جزع الرجل أمام العدوّ.,أحبك بكل تفاصيلك.,ساء فعلك.
23,غنى المطرب.,أزعجني تبرُّمُك من كلّ شيء.,ارتعدت فرائصه خوفًا.,كل دقيقة معك كنز.,خسئت مقالتك.
24,شدا البلبل.,قلبي مليء بالترح.,اصطكت أسنانه من الرهبة.,أحب كل لحظة أعيشها معك.,ماذا بك يا ابن السوداء؟
25,شدا الطفل الصغير.,أنا تعيس.,يا لهول ما رأيت!,أنت معنى الحياة بالنسبة لي.,ماذا تقول يا ابن الساقطة؟
26,بدت أمارات الفرح على وجهه.,أيها الرجل التعس.,أخذتني منه خيفة.,أذوب في حبك.,لا يصدر منه إلا كلّ رذيلة.
27,تنمّ أساريره عن سعادة غامرة.,أجزع أمام ما يحصل من ظلم.,دخل الروع في قلبه.,يعجز التعبير عن مشاعري.,أنا لا أحبك.
28,أخذت منه البهجة كلّ مأخذ.,يا حسرة ماذا تفعلين بقلبي؟,هو رجل مخوف.,شوقي لك يفوق الوصف.,أمقت منظرك.
29,تهلل الرجل بالبشرى.,جرت من العين عَبرةٌ.,هذا أمر مخيف.,أنت النجم في سماء حياتي.,أكره الأرض التي تمشي عليها.
30,احتفل الرجل بالمناسبة.,أشعر بحُرقة في القلب والنفس.,هو مرهوب الجانب.,حبك هو شعاري.,قاتلك الله.
31,أنا سعيد.,أصابني الغمّ.,ذُعر الرجل من الصوت المخيف.,أشعر بالسعادة الغامرة بقربك.,لعنك الله.
32,أنا مسرور.,أشعر بغصّة في قلبي.,في قلبه رعب من الأشباح.,تعني لي كل شيء.,أخذك المولى أخذ عزيز شديد.
33,الأيام بيضاء.,إلى متى هذه الغُمّة؟,أخذت الحيطة والحذر أثناء عبوري من هذا الطريق الخطر.,قلبي ملك لك.,لا برئت أيها الحقير.
34,في الفضاء حبور.,فجعني موت أخي.,على أصابعي رعشة بسبب الخوف.,لا يمكنني مقاومة حبك.,أنت منحط الأخلاق.
35,تغني الحياة.,أشعر بالكآبة.,ارتعش الرجل من الوجل.,كل لحظة بدونك كالعمر.,ابتعد عني أيها السافل.
36,تشدو الحياة ألحان الفرح.,ملأت الكآبة قلبي.,أخذته رهبة المنظر.,أحتاجك في حياتي.,أنت بلا أخلاق.
37,أخذتني نشوة الانتصار.,هذا والله كرْبٌ عظيم في الفؤاد.,لم يهدأ روعه.,وجودك في حياتي يمنحني القوة.,ضاعت منه المروءة.
38,أنا رجل سعيد.,قطّب حاجبيه.,روّعه منظر الموت.,أجد نفسي عندما أكون معك.,تبًا لك
39,هذا يوم سعدي.,أصاب قلبه الكمد.,أثار القصف الرعب في قلبه.,أحبك أكثر من أي وقت مضى.,تبّت يدا أبي لهب.
40,زارتنا البهجة.,التاع بسبب الحزن.,فزع الولد من صوت الرعد.,أنت الحلم الذي تحقق.,أنت دميم الخلق.
41,غنى الروض أغنية عذبة الألحان.,في القلب لوعة وشجون.,أصابه الذعر بسبب غرق سفينته.,أنت السبب في سعادتي.,أنت منافق دجال.
42,بات قرير العين.,لهفي عليك يا أبي.,من هاب أسباب المنايا يلقها ذليلاً.,حبك هو القوة المحركة لي.,لعنك الله أيها الزنديق.
43,نام ملء جفونه.,إنها ساعة البين.,خارت قواه جزعًا ويأسًا.,أعيش على ذكرياتك.,فقأ الله عينيك.
44,أنا أبيض القلب.,إنها ساعة الفراق.,يئس الناس من الحياة.,أنت سعادتي المطلقة.,أيها الغبي.
45,في البال أغنية.,لا تبتئس أيها الرجل.,يئس الرجل من النجاة.,لا أستطيع التفكير في حياتي بدونك.,أنت عبد ذليل.
46,يتراقص طربًا.,مشيت في جنازة.,أيقن أنه هالك لا محالة.,كل شيء أفعله من أجلك.,قلبك أسود.
47,يميل مع النسيم تمايل الغصن.,حضرت مأتمًا.,رأى الموت بأم العين.,أنا مفتون بك.,هذه نذالة ما بعدها نذالة.
48,أقبل يتثنى.,مات أخي.,أخذته الصاعقة.,أجد الراحة في وجودك.,هذه حقارة رجل بلا ضمير.
49,بانت سنّه.,مات الأمل.,أفزعني ما جرى.,لم أكن أعلم أنني أستطيع أن أحب بهذا الشكل.,أنت بلا ضمير.
50,أضحك الله سنك.,قضى الحزن على الفرح.,ساورتني الشكوك.,أحبك بكل كياني.,أيها الحمار.
51,كل عام وأنت بخير.,زرت قبر أبي.,لهذا الرجل هيبة.,أنا أسير في شوقك.,أيها العنيد.
52,أهنئك بالنجاح.,واريتُ الجثّة في اللحد.,جللت الأمير هالة من المهابة.,أنت الحلم الذي أعيشه.,أيها البغيض.
53,بورك لك في ما فعلت.,سلبني الهم راحتي.,اعتراني قلق إزاء المصير.,حبك هو مصدر قوتي.,هو رجل لا أمان له.
54,يرقص قلبي فرحًا,ذرفت الدمع من المآقي.,انخلع قلبي بسبب الهلع.,أحتاج إلى وجودك في حياتي.,أنت مخصي نكيد.
55,تلمع عيناه فرحًا,تستعر النيران في صدري.,كيف ينام الوجل؟,تعني لي أكثر مما تتصور.,أنت لئيم الطبع.
56,في قلبه سرور وبهجة.,أشكو من حرقة الجوى.,هالني منظره.,أنا مخلص لك.,هو أعمى الفؤاد.
57,اغتبط لما جرى.,القلب يصطلي على نار الخيبة.,شحب وجهه.,أريدك أن تكون جزءًا من كل يوم في حياتي.,أنت تردد الكلام كالببغاء.
58,هو يشعر بالغبطة.,الأيام سوداء حالكة.,ألوذ بالفرار.,أنت أروع ما في حياتي.,أيها الجاهل الحقير.
59,يهوى الأحبة.,أصغِ إلى أنّات قلبي.,أفلت منه هاربًا.,لا أستطيع مقاومة حنانك.,أنت امرؤ بخيل.
60,ليس في قلبه إلا الهوى.,أنا موجَع القلب.,ارتعدت أوصالي من الوجل.,كل لحظة معك تساوي العمر.,أيها الخسيس.
61,أفديك بنفسي.,قلبي موجوع.,أخذتني الدهشة مما جرى.,حبك يجعلني أعيش بسعادة.,فيك خسّة لا مثيل لها.
62,أنت خير من تحت السماء.,أحاط بي الألم من كلّ صوب.,أرى ألوانًا من الرعب.,أشعر بالاكتمال بقربك.,أيها النجس الدنس.
63,أنت أفضل الناس.,في القلب غُمّة.,في القلب مخافة ووجل.,أنت كل ما أحتاجه.,لعن الله روحك.
64,مدحه الشاعر.,أصابني كرب شديد.,على قلبي خوف من المجهول.,أجد كل ما أريده في حبك.,اذهب إلى جهنم وبئس المصير.
65,أنت نور النهار.,أصابني ضجر شديد.,هذا السجن يخيفني.,أنت مصدر سعادتي.,عار عليك ما تفعل.
66,أنت شمس الصباح.,أنا ضجِر.,هذا العذاب يرتعد له البدن.,حبك هو الضوء في حياتي.,أعيّرك بأفعالك.
67,مسّته سراء.,هذا مصير بائس.,ارتعب من سماع ما جرى.,أنت الحلم الذي تحقق.,العار يلاحقك في كل شيء.
68,رائحتك مسك وعنبر.,يا لهذا البؤس والشقاء.,قُتل الوالد.,تعني لي أكثر مما تتصور.,لقد أَعذر من أنذر.
69,عطرك فواح جميل.,هزني هذا الحزن هزًّا.,من مات عليه رحمة الله.,أنا أسير في شوقك.,أنت امرؤ فيك جاهليّة.
70,ترفل الفتاة بفستان جميل.,يكاد يقتلني الحنين.,أتوجس من الآتي.,أحتاج إلى وجودك في حياتي.,أنت رجل وضيع.
71,ملأت الزينات الشوارع.,غرق في حزن عميق.,الحذر واجب في مثل هذه الأمور.,كل لحظة معك تساوي العمر.,أنت قاعد عن الحق.
72,ثوبك المجد.,لفه صراع دامٍ بين الخيبة والخيبة.,الرهبة تعلو محياه.,حبك يجعلني أعيش بسعادة.,أنت لا تأتي إلا الكبائر.
73,إكليل الغار على رأسك.,لله ما أعطى ولله ما أخذ.,أخذته رعدة من خوف.,أشعر بالاكتمال بقربك.,أنت غدّار.
74,غاب الإبرام عنا والكدر.,عظم الله أجركم.,أدهشني هذا الحدث.,أنت كل ما أحتاجه.,شيمتك الغدر.
75,عيناها تضحكان كعيني المها.,شكر الله سعيكم.,أفزعني ما رأيت.,أجد كل ما أريده في حبك.,أيها الأرعن الحقير.
76,يرنو جؤذر إلى ربرب.,عوض الله عليك.,أشعر بقلق بالغ.,أنت مصدر سعادتي.,أنت أرعن لا تفكّر.
77,يرنو الطفل إلى أمه.,فُجع بالخسارة.,أخذني ذهول مما جرى.,لا يمكنني العيش بدونك.,أنت تأتي كلّ فاحشة.
78,يشعر بالأمان.,الأسى لا حدّ له.,خاف من السقوط.,حبك هو الضوء في حياتي.,لا أمان لك.
79,يا لطيب العيش.,أبكي من شدة القهر.,يتهيب من التحدي.,أنت الحلم الذي تحقق.,أيها اللص السارق.
80,ما أطيب الحياة!,بات فريسة للحزن.,يشكو خوفا من العقاب.,تعني لي أكثر مما تتصور.,أنت في ضلال.
81,ما أروع المنظر!,أشكو الهوان.,في قلوبهم مرضٌ.,أنا أسير في شوقك.,أنت مخبر عميل.
82,أضاءت الدنيا.,هو مكسور الخاطر.,الجبن نذالة.,أحتاج إلى وجودك في حياتي.,أنت تسجد للوثن.
83,أنارت قلبي.,وجهه قاتم.,ما أشدّ جزعه.,كل لحظة معك تساوي العمر.,أنت ساديّ سفاح.
84,نال الرجل ما أراد.,ذهب الذين تحبهم.,ارتاع لما رأى.,حبك يجعلني أعيش بسعادة.,لا أحبّ السفاحين.
85,ربح المال.,انهمرت دموعه.,عراه الهلع.,أشعر بالاكتمال بقربك.,هذا الرجل طاغية.
86,بات في الروض مسرورًا.,سالت الدموع على خديه.,أخذته الرهبة.,أنت كل ما أحتاجه.,طغى الرجل وبغى.
87,تمشى الرجل في الحديقة.,تعبس المدن.,استشعر الخطر.,أجد كل ما أريده في حبك.,انتفخت أوداجه.
88,أنعم بوجود أصحابي.,يعبس الشارع.,هذا يهدد حياته.,أنت مصدر سعادتي.,احمرّت عيناه.
89,أنت طيبة النشر.,اكفهرّ وجه السماء.,هو على شفا جرف هارٍ.,لا يمكنني العيش بدونك.,في قلبه مرض.
90,ما أبهى وجهك وعطرك وشذاك!,يدفن الرجل أحباءه.,انشق قلبه خوفًا.,حبك هو الضوء في حياتي.,أنت مريض القلب.
91,أغاثنا الله.,فقد ابنه.,مظهره مخيف.,أنت الحلم الذي تحقق.,أنت رجل رخيص.
92,وجهها كالقمر.,مات ابنه.,أنا أخاف.,تعني لي أكثر مما تتصور.,أنت ابن رجل لئيم.
93,رأيت وجهّا كالبدر جمالاً.,هو يشكو من الحزن.,هذا خوّاف.,أنا أسير في شوقك.,أمّك عاهرة منحطة.
94,تنفس الصبح.,تاه قلبه في طرقات الحب.,هي على أعصابها.,أحتاج إلى وجودك في حياتي.,أنت قواد.
95,ولد لي غلام.,أضناه طول سقامه.,أراه شاحب الوجه.,كل لحظة معك تساوي العمر.,لا مكان لك إلا في سوق النخاسة.
96,هذا عيد ميلادي.,تضاعفت برحائي.,هو شديد الحساسية تجاه هذه الأمور.,حبك يجعلني أعيش بسعادة.,أنت نجس القلب والروح.
97,احتفلت بالمناسبة السعيدة.,يشكو القلب داء عضالا.,هذه الأمور تتعبني.,أشعر بالاكتمال بقربك.,أيها المخادع الكاذب المحتال.
98,حضرنا حفلة جميلة.,أصاب قلبي الأسى.,اشعر بالخوف.,أنت كل ما أحتاجه.,أنت كذّاب وضيع.
99,يغني المسرور طربًا.,أشقى طيلة العمر.,أخاف الظلام.,أجد كل ما أريده في حبك.,أنت أسير مخازيك.
100,يلون الفرح الحياة بألوان زاهية.,في الظلم شقائي.,أخاف من المستقبل.,أنت مصدر سعادتي.,قبّح الله وجهك.
101,وجهك كالفجر ساعة السحر.,أسير في جنازة.,اخاف من المجهول.,لا يمكنني العيش بدونك.,ليس لك إلا النفاق نبراسًا.
102,رضي الله عني.,أدخل السجن.,هذا مروّع.,حبك هو الضوء في حياتي.,كل ما تقول بهتان.
103,سيرتي حسنة.,خسرت صديقي.,أشعر بالخوف في هذا المكان.,أنت الحلم الذي تحقق.,أنت كلب مسعور.
104,أحبني الله والرسول.,كل درب جلجلة.,هذا عذاب للمرتجفين.,تعني لي أكثر مما تتصور.,أنت رجل منحوس.
105,نال الرجل وطره.,أحمل الصليب على ظهري.,ارتعشت يداه من الفزع.,أنا أسير في شوقك.,أنت تستعبد الناس.
106,وصل إلى مبتغاه.,صدني صديقي عن بابه.,وجِلَ الرجل مما رأى.,أحتاج إلى وجودك في حياتي.,كلامك بدعة.
107,سقى الله أيامنا.,طردني الناس.,خفت من هذا الأمر.,كل لحظة معك تساوي العمر.,هذا الرجل كالحيوان.
108,ريقها عذب كالخمر.,شوّه المفتري سمعتي.,أرتجف من الرعب.,حبك يجعلني أعيش بسعادة.,هو شيطان رجيم.
109,ما أحلى المتربع.,ناصبني العداء.,تعتريني قشعريرة.,أشعر بالاكتمال بقربك.,لا يليق بك إلا الشتم.
110,هذا مربع الأحباب.,أخشى سوء العاقبة.,يخاف الرجل العذاب.,أنت كل ما أحتاجه.,شتمت الرجل.
111,نادمته في المجلس.,أخشى الموت.,هو يستشعر الخوف.,أجد كل ما أريده في حبك.,سببت الرجل.
112,يهنأ الرجل بأحلى صحبة.,قد هاج حزني.,انتابه فزع.,أنت مصدر سعادتي.,ما بيننا سباب وشتائم.
113,يحلو معه السمر.,شقيت بالصد والهجران.,أصابته الدهشة.,لا يمكنني العيش بدونك.,أنت بشع شنيع.
114,حياني القوم.,فراشي كالدبابيس.,أخذته الحيرة.,حبك هو الضوء في حياتي.,لا عهد لك ولا أمانة.
115,زرته مسرورًا.,أرقت طوال الليل.,هو في حال من الذهول.,أنت الحلم الذي تحقق.,أنت لا تفي بعهودك.
116,نعمت بالوصال.,أرّقتني هذه الهموم.,ارتعشت يداه من الوجل.,تعني لي أكثر مما تتصور.,أقفل فمك أيها التعس.
117,بتنا كأننا في الجنة.,أضناني أذى الناس.,رعشت يداي من الخوف.,أنا أسير في شوقك.,أيها الرجل التعس.
118,نزلنا في مكان كالفردوس.,فؤادي موجع حذر.,هلع الرجل من الهول.,أحتاج إلى وجودك في حياتي.,أنت بائس حقير.
119,كفكف الدمع.,شاق قلبي الهم.,هو رجل جبان.,كل لحظة معك تساوي العمر.,قلبك جثّة نتنة.
120,لا أصابك الهم.,هجرني الحبيب.,تخاف المرأة الوحدة.,حبك يجعلني أعيش بسعادة.,هو يتاجر بالمخدرات.
121,انتصر الجيش.,ينهش الحزن قلبي.,على فؤاده خيفة من العذاب.,أشعر بالاكتمال بقربك.,هو مقامر خليع.
122,انتصر القائد.,يفترس الهم فؤادي.,لم يقدر أن يواجه هذا الموقف.,أنت كل ما أحتاجه.,أسخط عليك بسبب إهمالك.
123,ربح الرجل في التجارة.,تناءى الحبيب,هذا موقف مرعب.,أجد كل ما أريده في حبك.,أنت عاذل.
124,حقّق الرجل أمنيته.,بعد المزار.,اهتز الرجل من الهلع.,أنت مصدر سعادتي.,يعذلني الناس.
125,,مرض الرجل.,اغتم الرجل من هذا الأمر.,لا يمكنني العيش بدونك.,وجهك ليس فيه حياء.
126,,مرضتُ.,داخله الهلع.,حبك هو الضوء في حياتي.,
127,,أنت تتفنّن في تعذيبي.,كاد يموت من الرعب.,أنت الحلم الذي تحقق.,
128,,تكسرت عظامي.,أخذته قشعريرة من الخوف.,تعني لي أكثر مما تتصور.,
129,,ضاق صدره.,اعترته قشعريرة.,أنا أسير في شوقك.,
130,,نام على وساد الشوك.,ارتعش من شدة الوجل.,أحتاج إلى وجودك في حياتي.,
131,,أصابه عطب في بدنه.,كاد يغمى عليه من الهلع.,كل لحظة معك تساوي العمر.,
132,,تأوه الرجل عندما مرض.,يا لهذا الهلع.,حبك يجعلني أعيش بسعادة.,
133,,سمعت أنينه فعرفت ألمه.,يعصف به الرعب.,أشعر بالاكتمال بقربك.,
134,,يئن المريض من الألم.,أصابته صاعقة.,أنت كل ما أحتاجه.,
135,,أنّ عامر ونحن في المستشفى.,من كاد منكم يشعر بخوف شديد؟,أجد كل ما أريده في حبك.,
136,,تأوّه الرجل بعد سقوطه.,أرهبه هذا الموقف.,أنت مصدر سعادتي.,
137,,أصيب الرأس بالصداع.,أطرافه ترتعد من شدة الوجل.,لا يمكنني العيش بدونك.,
138,,هذا عذاب للمجرمين.,ساقاه ترتعشان من الهلع.,حبك هو الضوء في حياتي.,
139,,أصابه وصب شديد.,ارتعشت أطرافه من الرعب.,أنت الحلم الذي تحقق.,
140,,إلى متى هذا الوجع والوهن؟,ترتعد يداه من الوجل.,تعني لي أكثر مما تتصور.,
141,,المصيبة نغّصت عليه عيشه.,وجِلَ الرجل مما سمع.,أنا أسير في شوقك.,
142,,اكتأب الرجل بعد موت ولده.,ارتعب من هذا الصوت.,أحتاج إلى وجودك في حياتي.,
143,,آلمه فقد الأعزاء.,انقبض قلبه.,كل لحظة معك تساوي العمر.,
144,,توجع الفتى بسبب الإصابة في يده.,دُهشتُ من هول ما رأيت.,حبك يجعلني أعيش بسعادة.,
145,,أصابه مكروه.,مشدوه مما جرى.,أشعر بالاكتمال بقربك.,
146,,دهمني الألم.,ارتعدت فرائصي مما جرى.,أنت كل ما أحتاجه.,
147,,دهمني المرض.,إنه هول لا يطاق.,أجد كل ما أريده في حبك.,
148,,رُزِئ الرجل بموت ولده.,أخاف أن أعود إلى هذا المكان.,أنت مصدر سعادتي.,
149,,اعتراه ألم شديد.,أخشى أن ألقى نفس المصير.,لا يمكنني العيش بدونك.,
